model,precision,agent,category,correct,total,accuracy
Qwen3.5-0.8B,BF16/FP16,Direct,Biology/Medicine,5,62,0.08064516129032258
Qwen3.5-0.8B,BF16/FP16,Direct,Chemistry,0,21,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Computer Science/AI,1,64,0.015625
Qwen3.5-0.8B,BF16/FP16,Direct,Engineering,0,10,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Humanities/Social Science,5,64,0.078125
Qwen3.5-0.8B,BF16/FP16,Direct,Math,5,216,0.023148148148148147
Qwen3.5-0.8B,BF16/FP16,Direct,Other,1,36,0.027777777777777776
Qwen3.5-0.8B,BF16/FP16,Direct,Physics,3,27,0.1111111111111111
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Biology/Medicine,4,62,0.06451612903225806
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Chemistry,0,21,0.0
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Computer Science/AI,1,64,0.015625
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Engineering,0,10,0.0
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Humanities/Social Science,7,64,0.109375
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Math,10,216,0.046296296296296294
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Other,1,36,0.027777777777777776
Qwen3.5-0.8B,BF16/FP16,xmaster_feedback,Physics,1,27,0.037037037037037035
Qwen3.5-0.8B,BF16/FP16,Tool,Biology/Medicine,6,62,0.0967741935483871
Qwen3.5-0.8B,BF16/FP16,Tool,Chemistry,0,21,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Computer Science/AI,3,64,0.046875
Qwen3.5-0.8B,BF16/FP16,Tool,Engineering,0,10,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Humanities/Social Science,4,64,0.0625
Qwen3.5-0.8B,BF16/FP16,Tool,Math,9,216,0.041666666666666664
Qwen3.5-0.8B,BF16/FP16,Tool,Other,1,36,0.027777777777777776
Qwen3.5-0.8B,BF16/FP16,Tool,Physics,3,27,0.1111111111111111
Qwen3.5-9B,BF16/FP16,Direct,Biology/Medicine,5,62,0.08064516129032258
Qwen3.5-9B,BF16/FP16,Direct,Chemistry,1,21,0.047619047619047616
Qwen3.5-9B,BF16/FP16,Direct,Computer Science/AI,1,64,0.015625
Qwen3.5-9B,BF16/FP16,Direct,Engineering,0,10,0.0
Qwen3.5-9B,BF16/FP16,Direct,Humanities/Social Science,6,64,0.09375
Qwen3.5-9B,BF16/FP16,Direct,Math,9,216,0.041666666666666664
Qwen3.5-9B,BF16/FP16,Direct,Other,1,36,0.027777777777777776
Qwen3.5-9B,BF16/FP16,Direct,Physics,1,27,0.037037037037037035
Qwen3.5-9B,BF16/FP16,xmaster_feedback,Biology/Medicine,9,62,0.14516129032258066
Qwen3.5-9B,BF16/FP16,xmaster_feedback,Chemistry,0,21,0.0
Qwen3.5-9B,BF16/FP16,xmaster_feedback,Computer Science/AI,2,64,0.03125
Qwen3.5-9B,BF16/FP16,xmaster_feedback,Engineering,0,10,0.0
Qwen3.5-9B,BF16/FP16,xmaster_feedback,Humanities/Social Science,2,64,0.03125
Qwen3.5-9B,BF16/FP16,xmaster_feedback,Math,10,216,0.046296296296296294
Qwen3.5-9B,BF16/FP16,xmaster_feedback,Other,1,36,0.027777777777777776
Qwen3.5-9B,BF16/FP16,xmaster_feedback,Physics,0,27,0.0
Qwen3.5-9B,BF16/FP16,Tool,Biology/Medicine,5,62,0.08064516129032258
Qwen3.5-9B,BF16/FP16,Tool,Chemistry,2,21,0.09523809523809523
Qwen3.5-9B,BF16/FP16,Tool,Computer Science/AI,3,64,0.046875
Qwen3.5-9B,BF16/FP16,Tool,Engineering,0,10,0.0
Qwen3.5-9B,BF16/FP16,Tool,Humanities/Social Science,6,64,0.09375
Qwen3.5-9B,BF16/FP16,Tool,Math,14,216,0.06481481481481481
Qwen3.5-9B,BF16/FP16,Tool,Other,1,36,0.027777777777777776
Qwen3.5-9B,BF16/FP16,Tool,Physics,1,27,0.037037037037037035
