model,precision,agent,correct,total,accuracy,coverage,wrong_to_right,right_to_wrong,net_vs_direct,shared_with_direct,missing_indices,status
Qwen3.5-0.8B,BF16/FP16,Direct,34,700,0.04857142857142857,700/700,,,,,0,Complete
Qwen3.5-0.8B,BF16/FP16,XMaster-Feedback,40,700,0.05714285714285714,700/700,25,19,6,700,0,Complete
Qwen3.5-0.8B,BF16/FP16,Tool,39,700,0.055714285714285716,700/700,10,5,5,700,0,Complete
Qwen3.5-0.8B,BF16/FP16,Sim-XMaster,41,700,0.05857142857142857,700/700,40,33,7,700,0,Complete
Qwen3.5-9B,BF16/FP16,Direct,36,700,0.05142857142857143,700/700,,,,,0,Complete
Qwen3.5-9B,BF16/FP16,XMaster-Feedback,37,700,0.05285714285714286,700/700,20,19,1,700,0,Complete
Qwen3.5-9B,BF16/FP16,Tool,44,700,0.06285714285714286,700/700,8,0,8,700,0,Complete
Qwen3.5-9B,BF16/FP16,Sim-XMaster,42,700,0.06,700/700,17,11,6,700,0,Complete
Qwen3.5-27B,NF4 4-bit,Direct,38,700,0.054285714285714284,700/700,,,,,0,Complete
Qwen3.5-27B,NF4 4-bit,XMaster-Feedback,42,700,0.06,700/700,23,19,4,700,0,Complete
Qwen3.5-27B,NF4 4-bit,Tool,47,700,0.06714285714285714,700/700,9,0,9,700,0,Complete
Qwen3.5-27B,NF4 4-bit,Sim-XMaster,42,700,0.06,700/700,18,14,4,700,0,Complete
