model,model_tag,agent,accuracy,correct,total,wrong_to_right,right_to_wrong,net_vs_direct
Qwen/Qwen3.5-0.8B,qwen35_08b,direct,0.06039915966386555,115,1904,,,
Qwen/Qwen3.5-0.8B,qwen35_08b,feedback,0.05619747899159664,107,1904,41,49,-8
Qwen/Qwen3.5-0.8B,qwen35_08b,tool,0.06144957983193277,117,1904,4,2,2
Qwen/Qwen3.5-0.8B,qwen35_08b,tool_search,0.05,1,20,0,0,0
Qwen/Qwen3.5-0.8B,qwen35_08b,oracle_feedback,0.07195378151260504,137,1904,22,0,22
Qwen/Qwen3.5-0.8B,qwen35_08b,oracle_tool,0.07300420168067227,139,1904,26,2,24
Qwen/Qwen2.5-7B-Instruct,qwen25_7b,direct,0.04884453781512605,93,1904,,,
Qwen/Qwen2.5-7B-Instruct,qwen25_7b,feedback,0.03623949579831933,69,1904,26,50,-24
Qwen/Qwen2.5-7B-Instruct,qwen25_7b,tool,0.051470588235294115,98,1904,6,1,5
Qwen/Qwen2.5-7B-Instruct,qwen25_7b,tool_search,0.0,0,0,0,0,0
Qwen/Qwen2.5-7B-Instruct,qwen25_7b,oracle_feedback,0.11449579831932773,218,1904,125,0,125
Qwen/Qwen2.5-7B-Instruct,qwen25_7b,oracle_tool,0.11607142857142858,221,1904,129,1,128
