model,precision,agent,correct,total,accuracy,coverage,wrong_to_right,right_to_wrong,net_vs_direct,shared_with_direct,missing_indices,status
Qwen3.5-0.8B,BF16/FP16,Direct,10,200,0.05,200/200,,,,,0,Complete
Qwen3.5-0.8B,BF16/FP16,Feedback,13,200,0.065,200/200,9,6,3,200,0,Complete
Qwen3.5-0.8B,BF16/FP16,Tool,17,200,0.085,200/200,8,1,7,200,0,Complete
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,19,200,0.095,200/200,9,0,9,200,0,Complete
Qwen3.5-9B,BF16/FP16,Direct,6,200,0.03,200/200,,,,,0,Complete
Qwen3.5-9B,BF16/FP16,Feedback,6,200,0.03,200/200,5,5,0,200,0,Complete
Qwen3.5-9B,BF16/FP16,Tool,13,200,0.065,200/200,7,0,7,200,0,Complete
Qwen3.5-9B,BF16/FP16,Oracle Feedback,13,200,0.065,200/200,7,0,7,200,0,Complete
Qwen3.5-27B,NF4 4-bit,Direct,11,200,0.055,200/200,,,,,0,Complete
Qwen3.5-27B,NF4 4-bit,Feedback,6,200,0.03,200/200,4,9,-5,200,0,Complete
Qwen3.5-27B,NF4 4-bit,Tool,17,200,0.085,200/200,6,0,6,200,0,Complete
Qwen3.5-27B,NF4 4-bit,Oracle Feedback,11,105,0.10476190476190476,105/200,3,0,3,105,95,Partial
